D7HKXA7A,2018,5,15,0
D7HKXA7A,2017,10,8,0
D7HKXA7A,2018,12,6,0
D7HKXA7A,2017,6,3,0
D7HKXA7A,2018,4,6,0
D7HKXA7A,2017,1,14,0
D7HKXA7A,2017,9,10,0
D7HKXA7A,2018,10,15,0
D7HKXA7A,2017,5,8,0
D7HKXA7A,2018,8,4,0
K0F90INC,2018,12,3,0
K0F90INC,2017,5,19,0
K0F90INC,2018,3,5,0
K0F90INC,2017,9,5,0
K0F90INC,2018,9,9,0
K0F90INC,2017,12,13,0
K0F90INC,2017,6,4,0
K0F90INC,2017,1,12,0
K0F90INC,2018,4,11,0
K0F90INC,2018,5,10,0
K0F90INC,2017,3,7,0
R900Z5T0,2017,8,16,0
EX7Z0O96,2017,12,9,0
RA630MC2,2018,9,13,0
RA630MC2,2018,10,4,0
A1Z0OX83,2018,9,7,0
K0F90INC,2017,11,6,0
K0F90INC,2018,10,9,0
K0F90INC,2017,2,10,0
KW2DHUI5,2018,9,10,0
KW2DHUI5,2018,10,6,0
KW2DHUI5,2017,5,8,0
KW2DHUI5,2017,11,8,0
P5QS1G7H,2018,3,9,0
KW2DHUI5,2018,11,5,0
KW2DHUI5,2017,2,10,0
KW2DHUI5,2017,6,12,0
TIEJG1VV,2017,10,7,0
KW2DHUI5,2018,7,10,0
IH776VM6,2017,10,2,0
KW2DHUI5,2017,12,11,0
KW2DHUI5,2018,3,7,0
S4U1EIA6,2016,12,7,0
S4U1EIA6,2017,6,12,0
WW59DL02,2017,9,8,0
WW59DL02,2017,1,13,0
WW59DL02,2018,9,4,0
I7S6CY55,2018,1,14,0
EX7Z0O96,2017,10,6,0
RA630MC2,2017,7,12,0
RA630MC2,2018,1,16,0
YMXYQU0P,2017,11,10,0
YMXYQU0P,2018,10,6,0
B7J9330W,2017,5,10,0
SSOZVHVC,2018,9,16,0
CA6A5KC2,2017,7,7,0
P5QS1G7H,2018,9,9,0
CA6A5KC2,2018,9,9,0
S3Y181RS,2018,10,5,0
