1,1098,196
2,101,262
3,184,142
4,349,197
5,209,250
6,1150,34
7,775,18
8,1100,240
9,1172,247
10,981,123
11,818,206
12,765,256
13,994,48
14,748,214
15,865,112
16,364,292
17,587,15
18,969,265
19,829,27
20,944,161
21,867,199
22,280,252
23,804,67
24,608,200
25,238,231
26,913,298
27,1049,65
28,764,130
29,728,242
30,626,3
31,668,76
32,517,112
33,384,154
34,931,25
35,969,253
36,367,120
37,168,245
38,915,175
39,726,4
40,1010,109
41,702,273
42,1103,240
43,244,141
44,495,35
45,818,99
46,506,167
47,481,276
48,994,28
49,862,296
50,125,92
51,473,241
52,78,178
53,832,61
54,707,214
55,987,238
56,350,15
57,39,287
58,1195,3
59,343,262
60,481,298
61,1063,124
62,289,137
63,112,216
64,987,292
65,676,112
66,639,112
67,329,206
68,307,94
69,157,129
70,9,282
71,164,221
72,620,99
73,505,249
74,415,276
75,1146,120
76,850,50
77,121,126
78,54,137
79,692,236
80,204,122
81,931,189
82,724,56
83,410,219
84,877,108
85,71,1
86,186,89
87,745,266
88,4,223
89,1030,150
90,7,254
91,898,300
92,1173,180
93,511,180
94,837,74
95,960,295
96,304,281
97,682,98
98,1016,179
99,820,205
100,3,62
101,276,275
102,146,283
103,868,179
104,846,119
105,1068,97
106,731,77
107,829,246
108,505,3
109,562,148
110,221,203
111,386,83
112,637,250
113,399,219
114,212,102
115,701,240
116,30,173
117,120,269
118,12,80
119,1038,146
120,364,182
121,564,178
122,703,93
123,653,127
124,1137,78
125,184,193
126,914,147
127,1055,35
128,467,45
129,333,108
130,1052,96
131,549,117
132,754,233
133,422,172
134,1078,76
135,715,286
136,246,164
137,572,98
138,284,90
139,1074,197
140,434,10
141,897,272
142,1081,106
143,548,61
144,770,237
145,857,193
146,1027,35
147,1061,142
148,519,140
149,1093,97
150,572,214
151,992,179
152,592,92
153,825,71
154,910,25
155,387,81
156,663,66
157,25,49
158,828,203
159,1162,135
160,537,84
161,687,213
162,1062,249
163,147,56
164,789,54
165,383,101
166,1078,165
167,132,148
168,58,278
169,418,151
170,1196,187
