1,DHHC3L19QBNWM7,140,seguro amplio,29883
2,H07ER5H0I1PD8S,134,seguro de responsabilidad civil,26404
3,DHHC3L19QBNWM7,400,seguro amplio,6983
4,6XQ43MM896A62U,204,seguro de responsabilidad civil,19210
5,Y9O9K81E7G4Y43,281,seguro amplio,35508
6,OPZZ9XS273I59S,274,seguro de responsabilidad civil,46087
7,L6T9W98KF0HR5D,341,seguro amplio,11294
8,TOY9XB6K9FI5WS,224,seguro amplio,30181
9,I5LW73207T989H,281,seguro limitado,5463
10,1V8V4OXY9OUJIV,284,seguro limitado,27833
11,2X8Y188O4O5V1L,278,seguro amplio,42980
12,6853W0QEH8IA6C,187,seguro amplio,44021
13,048C7GA4Z9883D,218,seguro amplio,42518
14,Y9O9K81E7G4Y43,312,seguro limitado,40486
15,1V8V4OXY9OUJIV,313,seguro de responsabilidad civil,22113
16,P8H1XGQP2W5D2H,162,seguro de responsabilidad civil,25844
17,30D265XZ9KHRKU,255,seguro amplio,32937
18,L6T9W98KF0HR5D,14,seguro amplio,22989
19,048C7GA4Z9883D,220,seguro limitado,30722
20,6XQ43MM896A62U,284,seguro limitado,30003
21,4TS61IP07Z0N1R,171,seguro limitado,24473
22,4TS61IP07Z0N1R,310,seguro de responsabilidad civil,29260
23,39711U6875DK46,423,seguro de responsabilidad civil,25813
24,Y9O9K81E7G4Y43,358,seguro limitado,25513
25,I5LW73207T989H,385,seguro de responsabilidad civil,40686
26,P8H1XGQP2W5D2H,108,seguro limitado,26720
27,E6Y4149V30I95X,102,seguro amplio,7338
28,P8H1XGQP2W5D2H,200,seguro de responsabilidad civil,41162
29,U09JJ0SS9C52OG,348,seguro amplio,35082
30,9W60REF27UL3WF,106,seguro amplio,26034
31,N9S5UUT96S388F,57,seguro de responsabilidad civil,7662
32,048C7GA4Z9883D,51,seguro limitado,11618
33,6XQ43MM896A62U,408,seguro limitado,47421
34,OPZZ9XS273I59S,373,seguro amplio,31019
35,P8H1XGQP2W5D2H,403,seguro amplio,23911
36,Y9O9K81E7G4Y43,257,seguro de responsabilidad civil,6796
37,P8H1XGQP2W5D2H,97,seguro limitado,19816
38,RMD87O3R5O2339,401,seguro de responsabilidad civil,19910
39,1XC5W64Z6FH852,268,seguro amplio,6591
40,U09JJ0SS9C52OG,270,seguro amplio,18041
41,Y3K14A03E29LC9,357,seguro de responsabilidad civil,23366
42,OPZZ9XS273I59S,281,seguro limitado,39176
43,39711U6875DK46,145,seguro limitado,34485
44,39711U6875DK46,441,seguro limitado,19636
45,39711U6875DK46,31,seguro de responsabilidad civil,47520
46,09F589G70Q6X6J,210,seguro de responsabilidad civil,33779
47,H07ER5H0I1PD8S,299,seguro de responsabilidad civil,43204
48,P8H1XGQP2W5D2H,287,seguro de responsabilidad civil,30059
49,1XC5W64Z6FH852,302,seguro amplio,8523
50,DHHC3L19QBNWM7,144,seguro limitado,21559
51,1V8V4OXY9OUJIV,358,seguro de responsabilidad civil,13320
52,N9S5UUT96S388F,196,seguro limitado,40929
53,NK858L94TC68XU,424,seguro limitado,9074
54,39711U6875DK46,312,seguro de responsabilidad civil,26277
55,Y9O9K81E7G4Y43,305,seguro limitado,11078
56,FXPFUNMA4AU9J5,38,seguro amplio,22685
57,H28D3N7E9B7N8K,337,seguro amplio,38661
58,4TS61IP07Z0N1R,287,seguro de responsabilidad civil,25170
59,09F589G70Q6X6J,44,seguro limitado,46282
60,RMD87O3R5O2339,182,seguro de responsabilidad civil,38859
61,9W60REF27UL3WF,312,seguro limitado,7081
62,L6T9W98KF0HR5D,381,seguro limitado,8628
63,TOY9XB6K9FI5WS,309,seguro limitado,15798
64,DHHC3L19QBNWM7,396,seguro limitado,24695
65,39711U6875DK46,127,seguro amplio,18356
66,Y9O9K81E7G4Y43,54,seguro de responsabilidad civil,31183
67,4TS61IP07Z0N1R,180,seguro amplio,9092
68,DHHC3L19QBNWM7,293,seguro limitado,48461
69,9W60REF27UL3WF,101,seguro amplio,11856
70,H28D3N7E9B7N8K,392,seguro amplio,38364
71,1XC5W64Z6FH852,39,seguro amplio,9233
72,H07ER5H0I1PD8S,287,seguro amplio,34140
73,6XQ43MM896A62U,185,seguro amplio,6425
74,U09JJ0SS9C52OG,426,seguro limitado,20934
75,30D265XZ9KHRKU,135,seguro de responsabilidad civil,33570
76,008GVHBU544465,142,seguro limitado,10465
77,E6Y4149V30I95X,30,seguro limitado,9601
78,Y3K14A03E29LC9,443,seguro limitado,29801
79,9W60REF27UL3WF,395,seguro de responsabilidad civil,21737
80,09F589G70Q6X6J,410,seguro de responsabilidad civil,12591
81,NK858L94TC68XU,304,seguro limitado,42623
82,U09JJ0SS9C52OG,79,seguro de responsabilidad civil,10851
83,L6T9W98KF0HR5D,440,seguro de responsabilidad civil,46207
84,Y9O9K81E7G4Y43,402,seguro de responsabilidad civil,17709
85,L6T9W98KF0HR5D,54,seguro amplio,24075
86,9W60REF27UL3WF,266,seguro limitado,29332
87,1XC5W64Z6FH852,332,seguro limitado,22352
88,I5LW73207T989H,379,seguro limitado,34193
89,008GVHBU544465,131,seguro limitado,48312
90,H28D3N7E9B7N8K,48,seguro amplio,17187
91,N9S5UUT96S388F,419,seguro amplio,29722
92,Y9O9K81E7G4Y43,297,seguro limitado,45376
93,H28D3N7E9B7N8K,64,seguro limitado,33306
94,2X8Y188O4O5V1L,192,seguro de responsabilidad civil,42575
95,P8H1XGQP2W5D2H,315,seguro amplio,35749
96,6853W0QEH8IA6C,389,seguro de responsabilidad civil,9286
97,U09JJ0SS9C52OG,260,seguro de responsabilidad civil,12932
98,H07ER5H0I1PD8S,262,seguro limitado,9519
99,39711U6875DK46,89,seguro amplio,8835
100,6853W0QEH8IA6C,310,seguro de responsabilidad civil,20901
101,RMD87O3R5O2339,254,seguro de responsabilidad civil,43146
102,P8H1XGQP2W5D2H,65,seguro de responsabilidad civil,17217
103,RMD87O3R5O2339,158,seguro limitado,43863
104,H07ER5H0I1PD8S,416,seguro limitado,21270
105,4TS61IP07Z0N1R,48,seguro limitado,31088
106,DHHC3L19QBNWM7,215,seguro limitado,21614
107,FXPFUNMA4AU9J5,257,seguro amplio,18081
108,1XC5W64Z6FH852,279,seguro amplio,12622
109,RMD87O3R5O2339,280,seguro limitado,41650
110,RMD87O3R5O2339,392,seguro limitado,42626
111,6853W0QEH8IA6C,269,seguro amplio,36648
112,SDXKD48830Y040,412,seguro amplio,7349
113,9W60REF27UL3WF,260,seguro limitado,48511
114,N9S5UUT96S388F,269,seguro amplio,27421
115,DHHC3L19QBNWM7,415,seguro de responsabilidad civil,13088
116,9W60REF27UL3WF,358,seguro de responsabilidad civil,36168
117,L6T9W98KF0HR5D,436,seguro limitado,46407
118,Y3K14A03E29LC9,162,seguro limitado,47666
119,OPZZ9XS273I59S,285,seguro limitado,7256
120,H07ER5H0I1PD8S,427,seguro amplio,11776
